 Q   P   R   X   Y  Curvature

 0   2   4   3  13          1
 1   3   5   4  12    -200001
 2   4   6   4  11    -200002
 3   5   7   4  10          0
 4   6   8   4   9          0
 5   7   9   4   8          0
 6   8  10   4   7     200000
 7   9  11   4   6     199999
 8  10  12   5   7       -0.5
 9  11  13   6   7       -0.5
10  12  14   7   8        0.5
11  13  15   8   9        1.5
12  14  16   9   8        0.5
13  15  17  10   8        1.5
14  16  18  11   7    -200000
15  17  19  11   6    -200002
16  18  20  11   5          0
17  19  21  11   4     200001
18  20  22  11   3     200000
19  21  23  12   3         -1
20  22  24  13   3          0
21  23  25  14   3          0
22  24  26  15   3          0
23  25  27  16   3         -1
24  26  28  17   3     200000
25  27  29  17   4     200001
26  28  30  17   5          0
27  29  31  17   6          0
28  30  32  17   7          0
29  31  33  17   8    -200002
30  32  34  17   9    -200000
31  33  35  18  10          2
32  34  36  19  10        0.5
33  35  37  20  10          0
34  36  38  21  10          0
35  37  39  22  10        0.5
36  38  40  23  10          2
37  39  41  24   9    -200000
38  40  42  24   8         -1
39  41  43  24   7     200000
40  42  44  25   7       -0.5
41  43  45  26   6       -0.5
42  44  46  27   6       -0.5
43  45  47  28   6       -0.5
44  46  48  29   6         -1
45  47  49  30   7       -0.5
46  48  50  31   8          0
47  49  51  32   9         -1
48  50  52  33  10         -1
49  51  53  33  11          0
50  52  54  34  12     200002
51  53  55  34  13     200002
52  54  56  34  14          0
53  55  57  34  15          0
54  56  58  34  16    -199998
55  57  59  34  17    -199999
56  58  60  33  18         -1
57  59  61  32  19          0
58  60  62  31  20          0
59  61  63  30  21       -0.5
60  62  64  29  22         -1
61  63  65  28  22       -0.5
62  64  66  27  22       -0.5
63  65  67  26  22       -0.5
64  66  68  25  21          0
65  67  69  24  21       -0.5
66  68  70  23  20       -0.5
67  69  71  22  19          0
68  70  72  21  18         -1
69  71  73  20  17         -1
70  72  74  20  16          1
71  73  75  19  15          2
72  74  76  18  14          2
73  75  77  17  15          2
74  76  78  16  16     199999
75  77  79  16  17          0
76  78  80  16  18    -199999
77  79  81  15  19         -1
78  80  82  14  20          0
79  81  83  13  21          0
80  82  84  12  22          0
81  83  85  11  23         -1
82  84  86  10  24         -2
83  85  87   9  23         -1
84  86  88   8  22          0
85  87  89   7  21          0
86  88  90   6  20          0
87  89  91   5  19          0
88  90  92   4  18          0
89  91   0   3  17          0
90  92   1   2  16    -199999
91   0   2   1  15          2
92   1   3   2  14     200001



Index   X   Y  Curvature  localMax  Corner

    0   1  15          2         0       1
    1   2  14     200001         1       8
    2   3  13          1         0       1
    3   4  12    -200001         0       1
    4   4  11    -200002         1       8
    5   4  10          0         0       1
    6   4   9          0         0       1
    7   4   8          0         0       1
    8   4   7     200000         1       8
    9   4   6     199999         0       1
   10   5   7       -0.5         0       1
   11   6   7       -0.5         0       1
   12   7   8        0.5         0       1
   13   8   9        1.5         1       8
   14   9   8        0.5         0       1
   15  10   8        1.5         0       1
   16  11   7    -200000         0       1
   17  11   6    -200002         1       8
   18  11   5          0         0       1
   19  11   4     200001         0       1
   20  11   3     200000         0       1
   21  12   3         -1         0       1
   22  13   3          0         0       1
   23  14   3          0         0       1
   24  15   3          0         0       1
   25  16   3         -1         0       1
   26  17   3     200000         0       1
   27  17   4     200001         1       8
   28  17   5          0         0       1
   29  17   6          0         0       1
   30  17   7          0         0       1
   31  17   8    -200002         1       8
   32  17   9    -200000         0       1
   33  18  10          2         0       1
   34  19  10        0.5         0       1
   35  20  10          0         0       1
   36  21  10          0         0       1
   37  22  10        0.5         0       1
   38  23  10          2         0       1
   39  24   9    -200000         1       8
   40  24   8         -1         0       1
   41  24   7     200000         1       8
   42  25   7       -0.5         0       1
   43  26   6       -0.5         0       1
   44  27   6       -0.5         0       1
   45  28   6       -0.5         0       1
   46  29   6         -1         1       8
   47  30   7       -0.5         0       1
   48  31   8          0         0       1
   49  32   9         -1         1       8
   50  33  10         -1         0       1
   51  33  11          0         0       1
   52  34  12     200002         1       8
   53  34  13     200002         1       8
   54  34  14          0         0       1
   55  34  15          0         0       1
   56  34  16    -199998         0       1
   57  34  17    -199999         1       8
   58  33  18         -1         0       1
   59  32  19          0         0       1
   60  31  20          0         0       1
   61  30  21       -0.5         0       1
   62  29  22         -1         1       8
   63  28  22       -0.5         0       1
   64  27  22       -0.5         0       1
   65  26  22       -0.5         1       8
   66  25  21          0         0       1
   67  24  21       -0.5         1       8
   68  23  20       -0.5         0       1
   69  22  19          0         0       1
   70  21  18         -1         1       8
   71  20  17         -1         0       1
   72  20  16          1         0       1
   73  19  15          2         1       8
   74  18  14          2         0       1
   75  17  15          2         0       1
   76  16  16     199999         1       8
   77  16  17          0         0       1
   78  16  18    -199999         1       8
   79  15  19         -1         0       1
   80  14  20          0         0       1
   81  13  21          0         0       1
   82  12  22          0         0       1
   83  11  23         -1         0       1
   84  10  24         -2         1       8
   85   9  23         -1         0       1
   86   8  22          0         0       1
   87   7  21          0         0       1
   88   6  20          0         0       1
   89   5  19          0         0       1
   90   4  18          0         0       1
   91   3  17          0         0       1
   92   2  16    -199999         0       1
